N,ABR_Const_Rand,ARN_Const_Rand,ABR_Search_Rand,ARN_Search_Rand,ABR_Const_Sorted,ARN_Const_Sorted,ABR_Search_Sorted,ARN_Search_Sorted
1000,1.625,1.411,1.418,0.846,2.773,0.174,4.546,1.151
2500,1.636,1.762,0.555,0.513,9.528,0.648,34.733,0.385
5000,0.614,0.746,0.577,0.629,24.109,0.363,81.591,0.658
7500,0.893,1.067,0.729,0.656,54.473,0.524,183.669,0.949
10000,1.409,1.462,0.984,0.862,94.674,0.754,383.785,1.529
15000,1.938,2.291,1.610,1.534,238.545,1.157,917.469,1.757
20000,2.797,3.297,2.489,2.818,381.338,1.450,1514.631,2.442
50000,8.661,9.095,10.207,6.924,2591.624,4.133,8689.206,9.115
100000,20.217,21.780,13.688,11.083,9785.597,10.259,36562.822,20.839
500000,223.127,180.553,113.005,52.041,295831.153,234.805,1181481.613,81.211